S_area;S
1.25;0.945525
1.29512136;0.9436124714
1.341042719;0.9469236744
1.387764079;0.945011827
1.435285438;0.9422218316
1.483606798;0.9437964644
1.532728157;0.9418614527
1.582649517;0.9437497334
1.633370876;0.9431736789
1.684892236;0.9394790618
1.737213595;0.9471114801
1.790334955;0.9437034582
1.844256315;0.946417013
1.898977674;0.9411713149
1.954499034;0.9454693626
2.010820393;0.9472974873
2.067941753;0.9481306142
2.125863112;0.9420124623
2.184584472;0.9466241434
2.244105831;0.9483591244
2.304427191;0.954793318
2.365548551;0.9405421037
2.42746991;0.9408145131
2.49019127;0.9470695437
2.553712629;0.9459717692
2.618033989;0.9422304326
2.683155348;0.9461074074
2.749076708;0.9399093264
2.815798067;0.9476286816
2.883319427;0.9456711057
2.951640786;0.9386808029
3.020762146;0.944199624
3.090683506;0.9458727801
3.161404865;0.9396959821
3.232926225;0.9421393604
3.305247584;0.9463254358
3.378368944;0.9382744068
3.452290303;0.9480334402
3.527011663;0.9453802061
3.602533022;0.9459891464
3.678854382;0.9426696468
3.755975742;0.947106843
3.833897101;0.9486978377
3.912618461;0.9508445383
3.99213982;0.9545605524
4.07246118;0.9419195463
4.153582539;0.9485951803
4.235503899;0.9509129803
4.318225258;0.94335949
4.401746618;0.935811331
4.486067977;0.9438687025
4.571189337;0.9386480185
4.657110697;0.953031133
4.743832056;0.9533679283
4.831353416;0.9432734409
4.919674775;0.9415765552
5.008796135;0.9486659879
5.098717494;0.9443844543
5.189438854;0.9447892377
5.280960213;0.9412255388
5.373281573;0.9334464749
5.466402933;0.9479289325
5.560324292;0.9558753491
5.655045652;0.9318949729
5.750567011;0.939757661
5.846888371;0.9370223303
5.94400973;0.9465835496
6.04193109;0.94078909
6.140652449;0.9448621924
6.240173809;0.9416422278
6.340495168;0.9483478624
6.441616528;0.9283013579
6.543537888;0.9397829114
6.646259247;0.9529406509
6.749780607;0.947736695
6.854101966;0.9370242798
6.959223326;0.9429051684
7.065144685;0.9508978232
7.171866045;0.9469014739
7.279387404;0.9479946217
7.387708764;0.9456267218
7.496830124;0.9416018635
7.606751483;0.9439978591
7.717472843;0.9601307964
7.828994202;0.934390458
7.941315562;0.9452547913
8.054436921;0.9481683144
8.168358281;0.9387077336
8.28307964;0.9422003091
8.398601;0.9377877877
8.514922359;0.9430276513
8.632043719;0.9420149311
8.749965079;0.9388712529
8.868686438;0.9460227824
8.988207798;0.9468178094
9.108529157;0.9451009854
9.229650517;0.9526845263
9.351571876;0.9412357094
9.474293236;0.9393761743
9.597814595;0.9527750549
9.722135955;0.9388666692
9.847257315;0.9460260102
9.973178674;0.9377779907
10.09990003;0.9350487451
10.22742139;0.9464455757
10.35574275;0.952417661
10.48486411;0.952445056
10.61478547;0.9443974634
10.74550683;0.9436704099
10.87702819;0.9519575073
11.00934955;0.9721255653
11.14247091;0.9535726605
11.27639227;0.962778372
11.41111363;0.9397052074
11.54663499;0.9583707041
11.68295635;0.9310147914
11.82007771;0.9343771428
11.95799907;0.9696741444
12.09672043;0.9446328981
12.23624179;0.9545492218
12.37656315;0.9296036579
12.51768451;0.955725212
12.65960587;0.9490906517
12.80232722;0.938154539
12.94584858;0.932618932
13.09016994;0.96513823
13.2352913;0.9446027403
13.38121266;0.9378891955
13.52793402;0.9320746541
13.67545538;0.9322557934
13.82377674;0.9498316999
13.9728981;0.9480611362
14.12281946;0.9438280246
14.27354082;0.9410545463
14.42506218;0.9426778134
14.57738354;0.9488418946
14.7305049;0.9540948023
14.88442626;0.9359327231
15.03914762;0.9518276527
15.19466898;0.946779824
15.35099034;0.9276603461
15.5081117;0.9399466499
15.66603306;0.9637743536
15.82475442;0.9376166991
15.98427578;0.9561793769
16.14459713;0.9349336201
16.30571849;0.9496450451
16.46763985;0.9467246152
16.63036121;0.9309676207
16.79388257;0.941465057
16.95820393;0.9343970367
17.12332529;0.9477760549
17.28924665;0.9512543508
17.45596801;0.9454152275
17.62348937;0.9497298422
17.79181073;0.94848143
17.96093209;0.9501333076
18.13085345;0.9449800818
18.30157481;0.9322822208
18.47309617;0.9365859757
18.64541753;0.9335760556
18.81853889;0.9277539672
18.99246025;0.9361383656
19.16718161;0.9698593893
19.34270297;0.958430932
19.51902433;0.9306670799
19.69614569;0.9586114105
19.87406704;0.9390496679
20.0527884;0.9272409358
20.23230976;0.946872097
20.41263112;0.9418388
20.59375248;0.9536966775
20.77567384;0.9716782656
20.9583952;0.9351635939
21.14191656;0.9674541019
21.32623792;0.9549889341
21.51135928;0.9542438977
21.69728064;0.9282096658
21.884002;0.9165020038
22.07152336;0.9413504713
22.25984472;0.9504953695
22.44896608;0.9316320923
22.63888744;0.9340804957
22.8296088;0.9577020891
23.02113016;0.9721823265
23.21345152;0.9670723902
23.40657288;0.9554563048
23.60049424;0.9593600907
23.7952156;0.9660857532
23.99073695;0.9413965181
24.18705831;0.9280574275
24.38417967;0.942936228
24.58210103;0.9304325241
24.78082239;0.9525748128
24.98034375;0.9584957898
25.18066511;0.9676929603
25.38178647;0.9667922467
25.58370783;0.9524814426
25.78642919;0.9409468012
25.98995055;0.9551306827
26.19427191;0.955828982
