N;S
100;-0.01126732902
600;0.00145963192
1100;-5.428891006e-05
1600;-0.0001091810726
2100;-0.0002450687157
2600;0.0004042833394
3100;-0.001503849509
3600;-0.001113699292
4100;0.0008081397743
4600;-0.00011313697
5100;1.553899268e-05
5600;0.0001283268949
6100;0.0003961892369
6600;-0.001309539824
7100;0.000328505287
7600;-0.0003908447503
8100;-0.0004724088156
8600;-7.35947232e-05
9100;-8.073101757e-05
9600;-0.0003490523035
10100;6.173434524e-05
10600;-0.0006699210418
11100;-0.0002590353893
11600;0.0003640012961
12100;0.0008863289689
12600;0.000996432302
13100;-8.08309324e-05
13600;-0.0003471060866
14100;-0.0001101783362
14600;-0.0002837873867
15100;1.072715402e-05
15600;-0.0002540369972
16100;0.0002325159839
16600;5.913737732e-05
17100;-2.67087095e-05
17600;0.0006615650455
18100;-3.571925231e-06
18600;-0.0001967869912
19100;0.001007980535
19600;0.0008771437706
20100;-0.0002295487773
20600;-0.0007460805478
21100;-0.0002816264959
21600;0.0004744136846
22100;-2.478262891e-05
22600;-0.000309817949
23100;-0.0003006412117
23600;-0.0001696045095
24100;4.753278337e-07
24600;0.0001394323114
25100;1.291302142e-05
25600;-0.00042091028
26100;-0.0005227204691
26600;0.0002484801794
27100;0.0008227426191
27600;-1.052338994e-05
28100;3.314036577e-05
28600;7.666562739e-05
29100;-0.0001032404295
29600;-0.0003418986415
30100;0.0001721846661
30600;0.0001370694247
31100;-5.862167468e-05
31600;0.0002104727327
32100;0.0001677440663
32600;-0.0005260505801
33100;-5.777830962e-05
33600;0.0006088571112
34100;-3.371950933e-05
34600;0.000307306528
35100;0.0001186718532
35600;-0.0002535127354
36100;-0.0001307417592
36600;0.0001474137979
37100;-0.000201548998
37600;0.0002669046357
38100;-0.0003978558629
38600;-0.0004611664969
39100;-0.0004883337379
39600;-7.768283018e-05
40100;0.0003471497591
40600;0.0002272579886
41100;-0.0001238120303
41600;-0.0002739732445
42100;-0.0004466590097
42600;-3.807791189e-05
43100;0.0003005325772
43600;-5.128112033e-05
44100;-0.0002081567928
44600;-0.0006149247302
45100;-0.000473031929
45600;0.0002969892694
46100;0.000266585491
46600;-0.0001525261626
47100;0.0003248841748
47600;-0.0003154105545
48100;-2.512404946e-06
48600;-0.0004835735331
49100;3.705968555e-05
49600;-0.0001996330718
50100;-0.0002004638888
50600;-0.0002258636981
51100;-0.0003613542224
51600;6.079985044e-05
52100;0.0002721457588
52600;-0.00027256524
53100;-0.0002709177432
53600;-2.091142254e-05
54100;-9.329566189e-05
54600;0.0001289328599
55100;-0.000109946667
55600;-0.0002502712955
56100;0.0001752467297
56600;0.0001001180482
57100;4.762828028e-05
57600;-4.04823197e-05
58100;-0.0001250263263
58600;-0.0002069983982
59100;-1.848528721e-06
59600;-5.128112033e-05
60100;5.028808526e-05
60600;0.0001045382704
61100;0.0001236777254
61600;-6.137870014e-05
62100;0.0001687040676
62600;0.0001530467807
63100;2.605863935e-05
63600;-6.730374864e-05
64100;-0.0005345592601
64600;0.0001434430005
65100;-0.0001088634297
65600;0.0001308919003
66100;-0.0002039958421
66600;-0.0001529227354
67100;0.0001756837342
67600;-5.382617318e-05
68100;-0.0001515098609
68600;-9.902868615e-05
69100;6.032920738e-05
69600;-0.0002857331439
70100;-3.877369228e-05
70600;-0.0004602127138
71100;-0.0001166614161
71600;-0.0003900859489
72100;-0.0001044660181
72600;-5.993990894e-05
73100;-0.0001845743464
73600;-0.0002073592526
74100;-0.0004861279569
74600;-7.159378073e-05
75100;-8.040181157e-05
75600;-0.0004763184118
76100;-0.0001096701843
76600;0.0001644237374
77100;2.35157052e-05
77600;0.000196349898
78100;-0.00011647814
78600;0.0001486641893
79100;-0.0001192510842
79600;-0.0001467142075
80100;0.00019427994
80600;-2.492750858e-05
81100;-0.0002083055462
81600;-0.0001082079642
82100;-5.622066253e-06
82600;0.0002479320541
83100;-4.2084016e-05
83600;-0.0005236624126
84100;-0.0001692644442
84600;4.469083706e-05
85100;-0.0002998319983
85600;0.0002078385593
86100;-0.000146080644
86600;0.0002247895199
87100;-0.0001210611514
87600;-4.070578658e-05
88100;-0.0002472790778
88600;0.0001216158672
89100;0.0002441135377
89600;-0.0002017914555
90100;-6.240760553e-05
90600;-5.383740961e-05
91100;-0.0002461271257
91600;-0.0003422617913
92100;1.902147414e-05
92600;-0.0002974586404
93100;5.728684299e-05
93600;0.000130124591
94100;-8.598417356e-05
94600;4.51779968e-05
95100;3.830420468e-05
95600;-9.447247745e-05
96100;-0.0001563221517
96600;-0.0001742393154
97100;4.736261183e-05
97600;-8.161249538e-06
98100;8.905480597e-05
98600;4.770749703e-05
99100;0.0003797676235
99600;-0.0001943866823
