N; S
100; 0.9415
600; 0.942708
1100; 0.945125
1600; 0.945914
2100; 0.943155
2600; 0.944793
3100; 0.944935
3600; 0.945181
4100; 0.945823
4600; 0.944636
5100; 0.944375
5600; 0.943281
6100; 0.944303
6600; 0.943936
7100; 0.9454
7600; 0.944817
8100; 0.944398
8600; 0.944509
9100; 0.944946
9600; 0.944738
10100; 0.944765
10600; 0.944851
11100; 0.9442
11600; 0.944875
12100; 0.943849
12600; 0.944136
13100; 0.944721
13600; 0.944202
14100; 0.944866
14600; 0.94467
15100; 0.944286
15600; 0.944828
16100; 0.944409
16600; 0.944373
17100; 0.944444
17600; 0.943964
18100; 0.944378
18600; 0.945018
19100; 0.945077
19600; 0.944154
20100; 0.94424
20600; 0.944221
21100; 0.94465
21600; 0.9447
22100; 0.944279
22600; 0.944931
23100; 0.944162
23600; 0.944068
24100; 0.944388
24600; 0.944356
25100; 0.94436
25600; 0.94436
26100; 0.944793
26600; 0.944199
27100; 0.944412
27600; 0.944724
28100; 0.944803
28600; 0.944112
29100; 0.94468
29600; 0.94469
30100; 0.944409
30600; 0.94477
31100; 0.944493
31600; 0.944383
32100; 0.944773
32600; 0.944808
33100; 0.944271
33600; 0.945257
34100; 0.944489
34600; 0.944383
35100; 0.944597
35600; 0.944476
36100; 0.944358
36600; 0.944322
37100; 0.944396
37600; 0.943584
38100; 0.944639
38600; 0.944347
39100; 0.944469
39600; 0.94443
40100; 0.944342
40600; 0.944601
41100; 0.944351
41600; 0.944799
42100; 0.944329
42600; 0.944707
43100; 0.944292
43600; 0.944405
44100; 0.944294
44600; 0.94433
45100; 0.944381
45600; 0.944291
46100; 0.944251
46600; 0.94502
47100; 0.944296
47600; 0.94456
48100; 0.944635
48600; 0.944581
49100; 0.945051
49600; 0.944126
50100; 0.944685
50600; 0.944152
51100; 0.944508
51600; 0.94441
52100; 0.944499
52600; 0.94485
53100; 0.944446
53600; 0.944644
54100; 0.944407
54600; 0.944538
55100; 0.944623
55600; 0.944306
56100; 0.944874
56600; 0.944645
57100; 0.944388
57600; 0.944488
58100; 0.944645
58600; 0.944458
59100; 0.944208
59600; 0.944108
60100; 0.944481
60600; 0.944832
61100; 0.944365
61600; 0.944125
62100; 0.94473
62600; 0.944477
63100; 0.944025
63600; 0.944142
64100; 0.944543
64600; 0.944598
65100; 0.944831
65600; 0.944386
66100; 0.944328
66600; 0.944338
67100; 0.944413
67600; 0.94418
68100; 0.944355
68600; 0.944446
69100; 0.94447
69600; 0.94435
70100; 0.944482
70600; 0.944572
71100; 0.944543
71600; 0.94433
72100; 0.944661
72600; 0.944554
73100; 0.944505
73600; 0.944281
74100; 0.944401
74600; 0.944617
75100; 0.944569
75600; 0.944568
76100; 0.944777
76600; 0.94434
77100; 0.944729
77600; 0.944495
78100; 0.944213
78600; 0.944601
79100; 0.944297
79600; 0.944479
80100; 0.944478
80600; 0.944347
81100; 0.944658
81600; 0.944458
82100; 0.944312
82600; 0.944511
83100; 0.944363
83600; 0.944229
84100; 0.944368
84600; 0.944078
85100; 0.944598
85600; 0.944292
86100; 0.944374
86600; 0.944148
87100; 0.944435
87600; 0.944529
88100; 0.944061
88600; 0.944354
89100; 0.944571
89600; 0.944754
90100; 0.944488
90600; 0.944586
91100; 0.944503
91600; 0.944361
92100; 0.94477
92600; 0.944282
93100; 0.944419
93600; 0.944535
94100; 0.944618
94600; 0.944406
95100; 0.944283
95600; 0.944493
96100; 0.94405
96600; 0.944756
97100; 0.944385
97600; 0.94475
98100; 0.944366
98600; 0.94444
99100; 0.944444
99600; 0.94474
