N;random;reversed;sorted
500; 136.52;127.91;93.66
600; 172.16;165.24;129.36
700; 201.46;178.25;128.59
800; 237.27;199.47;145.48
900; 257.42;254.73;160.74
1000; 310.03;267.19;237.07
1100; 321.38;280.3;235.67
1200; 370.31;305.22;253.65
1300; 402.71;370.16;285.69
1400; 446.15;369.19;298.2
1500; 457.91;399.92;321.31
1600; 483.62;429.93;332.04
1700; 508.9;474.43;357.12
1800; 548.38;496.75;373.14
1900; 584.5;546.79;394.31
2000; 629.94;557.02;450.76
2100; 692.35;585.05;516.57
2200; 713.8;629.81;525.76
2300; 762.14;646.98;549.73
2400; 795.46;675.63;572.95
2500; 831.95;708.97;591.45
2600; 861.99;744.14;630.33
2700; 871.2;775.55;646.66
2800; 910.13;804.17;668.11
2900; 948.86;841.67;677.64
3000; 979.19;886.5;710.25
3100; 1030.13;927.73;726.25
3200; 1060.82;946.81;763.91
3300; 1094.5;987.63;903.69
3400; 1139.66;1019.43;794.1
3500; 1223.58;1067.06;863.42
3600; 1322.82;1183.21;904.03
3700; 1250.28;1153.86;924.82
3800; 1320.37;1237.09;890.89
3900; 1395.18;1296.54;992.89
4000; 1428.89;1253.03;1018.96
4100; 1556.32;1330.38;1130.9
4200; 1502.28;1334.38;1239.02
4300; 1616.28;1346.89;1172.54
4400; 1634.63;1444.46;1251.58
4500; 1655.99;1435.4;1193.25
4600; 1657.57;1430.76;1295.21
4700; 1783.56;1540.66;1348.22
4800; 1800.26;1597.18;1330.22
4900; 1985.94;1744.78;1348.08
5000; 1805.81;1574.96;1395.76
5100; 1952.32;1666.43;1349.42
5200; 1906.57;1704.18;1371.49
5300; 1910.22;1686.41;1385.3
5400; 1934.57;1695.92;1437.71
5500; 2001.83;1734.47;1435.99
5600; 2018.55;1769.28;1462.11
5700; 2062.31;1814.07;1491.8
5800; 2112.58;1896.27;1522.23
5900; 2123.52;1876.6;1547.45
6000; 2175.34;1921.12;1576.53
6100; 2237.27;1969.93;1584.45
6200; 2252.33;1993.78;1602.15
6300; 2318.65;2099.82;1686.36
6400; 2313.13;2068.9;1649.54
6500; 2387.05;2108.52;1709.84
6600; 2421.69;2159.4;1721.99
6700; 2470.74;2223.78;1769.77
6800; 2470.34;2226.77;1772.43
6900; 2584.18;2266.2;1784.64
7000; 2581.74;2294.1;1809.7
7100; 2623.64;2358;1852.06
7200; 2657.7;2377.35;1850.67
7300; 2796.49;2434.67;1884.25
7400; 2717.92;2478.84;1931.21
7500; 2782.76;2524.25;1920.31
7600; 2800.15;2548.73;1941.81
7700; 2884.15;2666.84;2050.77
7800; 2981.66;2608.28;2069.32
7900; 2986.29;2642.29;2210.29
8000; 3051.87;2659.72;2241.28
8100; 3115.92;2684.61;2314
8200; 3198.79;2718.98;2479.45
8300; 3304.37;2736.94;2425.25
8400; 3320.53;2831.14;2488.49
8500; 3306.57;2835.81;2657.43
8600; 3410.92;2839.37;2511.25
8700; 3383.3;2879.99;2517.95
8800; 3493.63;2927.89;2579.19
8900; 3482.19;2974.6;2594.36
9000; 3502.54;2977.88;2635.57
9100; 3549.14;3028.28;2638.17
9200; 3637.49;3153.86;2683.84
9300; 3620.42;3097.73;2714.07
9400; 3715.94;3241.13;2721.9
9500; 3782.67;3254.84;2741.37
9600; 3750.77;3196.92;2769.61
9700; 3787.75;3258.91;2805.93
9800; 3820.75;3297.54;2900.47
9900; 3881.44;3314.54;2858.95
10000; 3987.97;3369.97;2899.8
