N;random;reversed;sorted
500; 131.72;129.24;84.64
600; 162.67;210.87;113.85
700; 213.05;215.98;117.23
800; 238.84;236.2;131.81
900; 262.47;285.6;136.52
1000; 283;272.36;183.33
1100; 309.2;298.91;199.42
1200; 338.72;345.34;229.85
1300; 380.47;379.51;235.2
1400; 484.13;476.49;254.87
1500; 453.08;480.07;265.92
1600; 485.75;518.47;281.54
1700; 531.6;579.79;313.65
1800; 602.26;602.7;315.05
1900; 607.01;669.64;332.2
2000; 617.48;577.04;425.18
2100; 667.86;616.54;427.17
2200; 687.48;661.7;469.91
2300; 730.05;700.61;477.65
2400; 784.01;740.76;491.88
2500; 801.1;798.75;523.42
2600; 834.68;815.32;536.04
2700; 873.81;864.71;555.71
2800; 904.24;905.01;594.03
2900; 943;951.84;591.87
3000; 970.6;1019.03;656.22
3100; 1095.88;1108.69;720.54
3200; 1124.77;1104.79;650.53
3300; 1109.29;1147.78;667.91
3400; 1138.19;1192.39;703.81
3500; 1186.36;1255.31;708.62
3600; 1218.47;1308.44;719
3700; 1256.52;1364.62;748.16
3800; 1329.61;1429.49;759.25
3900; 1366.12;1355.27;846.06
4000; 1397.39;1304.59;948.2
4100; 1407.76;1330.05;972.74
4200; 1507.34;1359.88;988.6
4300; 1470.74;1411.92;993.03
4400; 1531.36;1461.26;1036.7
4500; 1579.62;1495.27;1043.26
4600; 1575.44;1540.92;1072.67
4700; 1652.54;1553.63;1085.34
4800; 1724.76;1609.75;1133.08
4900; 1716.42;1680.07;1156.32
5000; 1744.72;1725.44;1180.84
5100; 1781.46;1747.65;1193.59
5200; 1836.24;1775.59;1192.81
5300; 1891.68;1848.83;1236.93
5400; 1954.13;1934.41;1242.04
5500; 1956.07;1957.73;1260.79
5600; 1995.03;2005.57;1283.2
5700; 2021.43;2035.99;1309.65
5800; 2106.06;2088.82;1328.94
5900; 2137;2133.09;1353.96
6000; 2189.46;2150.11;1377.12
6100; 2204.54;2215.43;1395.63
6200; 2238.16;2316.66;1436.37
6300; 2328.22;2305.85;1438.62
6400; 2375.44;2447.88;1482.27
6500; 2393.01;2468.87;1490.53
6600; 2442.59;2505.67;1515.4
6700; 2487.03;2524.52;1524.98
6800; 2525.78;2615.98;1565.39
6900; 2587.13;2670.29;1595.85
7000; 2632.28;2674.31;1595.61
7100; 2677.64;2733.8;1619.05
7200; 2710;2777.55;1638.31
7300; 2757.35;2884.98;1685.87
7400; 2799.76;2888.66;1685.49
7500; 2834.55;2946.28;1738.4
7600; 2907.44;3006.49;1717.65
7700; 2977.16;3056.24;1779.84
7800; 2960.44;2909.7;1884.45
7900; 2976.94;2749.1;2024.89
8000; 2981.4;2727.64;2081.41
8100; 3061.39;2772.96;2094.17
8200; 3117.25;2863.31;2132.05
8300; 3146.37;2938.05;2186.39
8400; 3269.26;2958.97;2217.33
8500; 3258.91;2958.3;2198.31
8600; 3296.05;2975.18;2215.86
8700; 3302.88;3032.72;2229.36
8800; 3356.51;3166.14;2264.4
8900; 3418.28;3138.13;2294.68
9000; 3432.32;3185.72;2321.75
9100; 3464.69;3214.66;2353.72
9200; 3494.56;3253.33;2354.6
9300; 3554.1;3295.36;2406.24
9400; 3627.95;3369.36;2424.37
9500; 3649.14;3404.53;2426.62
9600; 3646.07;3443.49;2475.11
9700; 3733.51;3514.99;2492.71
9800; 3746.12;3528.48;2522.5
9900; 3817.37;3618.15;2543.35
10000; 3860.16;3644.47;2553.75
