N;random;reversed;sorted
500; 135.67;128.25;115.18
600; 192.33;190.3;176.24
700; 318.16;248.05;197.67
800; 251.4;279.57;225.7
900; 340.18;259.9;240.73
1000; 359.29;278.83;230.25
1100; 828.32;459.95;631.6
1200; 1072.28;911.34;453.79
1300; 578.61;565.29;489.55
1400; 581.43;647.02;511.64
1500; 571.38;631.34;544.45
1600; 720.74;770.4;624.74
1700; 708.63;759.98;479.76
1800; 814.61;759.62;632.95
1900; 679.5;672.76;467.51
2000; 866.54;946.63;624.79
2100; 1096.89;880.85;645.32
2200; 824.7;857;651.72
2300; 987.64;778.91;562.27
2400; 768.86;674.59;571.86
2500; 821.57;776.47;624.16
2600; 876.7;771.15;645.55
2700; 884.01;770.3;637.15
2800; 907.79;815.26;669.65
2900; 958.82;866.31;691.91
3000; 981.76;893.27;711.71
3100; 1014.56;916.08;749.24
3200; 1062.39;966.88;757.16
3300; 1079.84;1001.27;780.5
3400; 1131;1030.59;812.04
3500; 1162.36;1069.47;842.5
3600; 1196.98;1095.03;838.92
3700; 1242.34;1143.62;871.6
3800; 1262.36;1196.81;923.88
3900; 1321.67;1215.28;946.82
4000; 1383.73;1284.88;1077.09
4100; 1459.91;1261.22;1088.03
4200; 1479.7;1287.29;1112.79
4300; 1529.2;1350.32;1151.08
4400; 1559.94;1353.99;1170.27
4500; 1597.73;1404.6;1195.2
4600; 1631.24;1439.6;1257.75
4700; 1671.72;1472.34;1243.03
4800; 1702.4;1529.49;1259.73
4900; 1744.51;1527.3;1282.95
5000; 1776.41;1556.9;1306.77
5100; 1827.15;1591.93;1338.91
5200; 1844.8;1681.94;1370.53
5300; 1937.13;1712.76;1381.45
5400; 1924.95;1753.76;1422.05
5500; 1967.71;1739.04;1451.11
5600; 1993.2;1878.22;1514.84
5700; 2033.79;1862.46;1481.31
5800; 2076.29;1859.81;1513.98
5900; 2134.36;1887.2;1534.34
6000; 2323.08;1942.75;1576.96
6100; 2217.96;1953.49;1617.91
6200; 2235.46;2050.7;1609.06
6300; 2277.67;2036.97;1628.34
6400; 2319.32;2137.9;1748.57
6500; 2355.31;2102.35;1677.14
6600; 2398.83;2148.69;1709.39
6700; 2437.29;2186.99;1732.59
6800; 2484.29;2268.37;1818.33
6900; 2511.95;2257.17;1782.56
7000; 2548.94;2295.71;1796.2
7100; 2593.99;2340.77;1811.93
7200; 2634.93;2377.26;1850.88
7300; 2669.98;2519.95;1885.32
7400; 2715.11;2479.82;1911.32
7500; 2762.64;2515.4;1933.29
7600; 2788.08;2567.6;1948.26
7700; 2857.2;2679.84;2067.77
7800; 2934.69;2646.34;2076.06
7900; 3038.22;2755.09;2163.63
8000; 3055.58;2648.06;2225.05
8100; 3121.45;2686.49;2321.83
8200; 3190.16;2689.97;2388.41
8300; 3217.75;2743.76;2412.68
8400; 3274.54;2805.89;2491.36
8500; 3339.6;2828.77;2519.34
8600; 3332.86;2832.75;2506.38
8700; 3384.79;2972.32;2642.32
8800; 3410.53;2941.25;2563.09
8900; 3484.91;3031.62;2678.12
9000; 3515.58;3057.71;2615.43
9100; 3545.01;3209.89;3181.33
9200; 4037.81;3416.89;2769.86
9300; 3777.11;3159.84;2731.58
9400; 3741.42;3411.88;2873.15
9500; 3868.84;3538.41;2833.67
9600; 3785.81;3317.41;2922.9
9700; 3956.6;3305.23;2916.01
9800; 4419.6;3683.53;2993.74
9900; 3971.22;3554.47;3072.64
10000; 3999.55;3451.91;2996.64
